Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
CLP/GBP,0.0008123704,1.22996,0.0000098704,0.0008043,0.00081578019,CLP,GBP,1736432785
CLP/JPY,0.15769,0.12005,0.00018907857,0.15693,0.15834,CLP,JPY,1736432788
CLP/MXN,0.02046248,1.38045,0.000278628505,0.02018385,0.02046248,CLP,MXN,1736425143
CLP/PEN,0.00378309,1.38045,0.000051512655,0.00373158,0.00378309,CLP,PEN,1736425143
CLP/USD,0.00100056,0.06203474,0.00000062031,0.000997974113,0.00100418,CLP,USD,1736432798
CNH/AUD,0.21934,0.15156,0.000331928801,0.21902,0.22033,CNH,AUD,1736432800
CNH/EUR,0.13185,-0.01074586,-0.000014170056,0.13173,0.13222,CNH,EUR,1736432800
CNH/GBP,0.11051,0.43874,0.000482743999,0.11003,0.11106,CNH,GBP,1736432800
CNH/HKD,1.05816,0.08181216,0.000865,1.0568,1.059,CNH,HKD,1736432783
CNH/IDR,2201.5,0.01817273,0.4,2200.7,2211.7,CNH,IDR,1736418730
CNH/INR,11.6661,-0.1096,-0.0128,11.6591,11.6937,CNH,INR,1736432529
CNH/JPY,21.4518,-0.30302,-0.0652,21.424,21.529,CNH,JPY,1736432800
CNH/KRW,198.37,-0.00504083,-0.01,197.98,199.08,CNH,KRW,1736432529
CNH/PHP,7.9442,-0.1207,-0.0096,7.9333,7.9699,CNH,PHP,1736432529
CNH/SEK,1.52091,-0.0608365,-0.000925833235,1.51976,1.52625,CNH,SEK,1736432529
CNH/THB,4.6963,-0.1191,-0.0056,4.6945,4.7181,CNH,THB,1736432529
CNH/TWD,4.4747,0.06708858,0.003,4.4708,4.4837,CNH,TWD,1736432529
CNH/USD,0.13598,-0.01699729,-0.000023116601,0.13589,0.13618,CNH,USD,1736432803
CNY/AUD,0.21998,2.7959,0.00598322,0.215,0.22097,CNY,AUD,1736432760
CNY/BGN,0.25865,0.03997424,0.000103353506,0.25849,0.25918,CNY,BGN,1736432290
CNY/CAD,0.19634,0.37862,0.000740582806,0.1955,0.19644,CNY,CAD,1736432761
CNY/CHF,0.12426,0.37391,0.000462898312,0.1236,0.12455,CNY,CHF,1736432803
CNY/CLP,136.10829,0.82096,1.10829,134.25497,136.10829,CNY,CLP,1736425143
CNY/DKK,0.9867,-0.03779012,-0.000373016996,0.98616,0.98932,CNY,DKK,1736432794
CNY/EUR,0.13225,0.08495507,0.000112259627,0.13211,0.13259,CNY,EUR,1736432794
CNY/GBP,0.11084,0.47092,0.000519524906,0.11028,0.11141,CNY,GBP,1736432794
CNY/HKD,1.06141,0.08571478,0.00090900521,1.06002,1.06177,CNY,HKD,1736432797
CNY/IDR,2206.59556,-0.07718314,-1.70444,2206.59556,2220.8305,CNY,IDR,1736432738
CNY/INR,11.70969,-0.07859451,-0.00921041,11.69305,11.72571,CNY,INR,1736432765
CNY/JPY,21.51701,-0.20404,-0.04399243,21.48966,21.60761,CNY,JPY,1736432794
CNY/KRW,199.05963,-0.11188,-0.22296,198.41764,200.04001,CNY,KRW,1736432800
CNY/MYR,0.61369,-0.0618822,-0.00038,0.61348,0.61531,CNY,MYR,1736418730
CNY/NZD,0.24364,0.06355184,0.000154740295,0.238,0.24486,CNY,NZD,1736432780
CNY/PLN,0.56763,0.18164,0.0010292,0.56465,0.56935,CNY,PLN,1736418730
